TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,SalesTaxPercentage,ShiftDuringWhichSaleTookPlace
1,2025-01-09,1020,2023,401,0,643.02,7.5,Evening
2,2024-07-10,1034,2091,404,2,529.24,8.6,Afternoon
3,2025-03-22,1087,2035,403,3,4313.72,8.6,Morning
4,2024-12-27,1186,2015,404,,1275.85,7.6,Evening
5,2025-04-21,1049,2005,402,0,1739.64,9.6,Evening
6,2024-10-30,1093,2054,402,0,1270.12,7.2,Morning
7,2025-02-20,1005,2097,402,0,644.45,7.5,Evening
8,2024-10-05,1054,2072,403,3,1833.37,8.7,Afternoon
9,2024-11-22,1063,2068,403,3,828.83,9.8,Evening
10,2024-08-30,1130,2096,401,1,1594.55,7.8,Morning
11,2024-11-11,1005,2059,403,0,273.38,8.6,Morning
12,2025-04-21,1196,2014,403,3,0.0,6.8,Afternoon
13,2025-02-16,1128,2064,401,2,1039.94,9.8,Evening
14,2024-08-22,1041,2099,401,3,1861.74,8.9,Evening
15,2025-04-19,1078,2035,401,3,4900.93,9.8,Afternoon
16,2024-12-11,1032,2021,403,3,1861.38,7.7,Evening
17,2025-03-02,1182,2040,404,3,41.46,7.9,Evening
18,2024-10-14,1058,2000,401,0,1815.57,8.9,Morning
19,2025-04-12,1071,2091,402,3,2628.38,7.9,Evening
20,2024-11-07,1005,2052,404,0,1969.12,6.9,Morning
21,2024-07-12,1086,2013,402,3,1325.7,8.7,Evening
22,2024-11-22,1019,2070,401,,127.04,8.7,Morning
23,2025-05-21,1060,2091,404,3,1240.87,9.5,Evening
24,2024-06-01,1116,2097,404,2,763.17,9.6,Afternoon
25,2025-02-22,1089,2039,404,1,2785.23,7.6,Evening
26,2025-04-09,1066,2030,404,1,127.5,8.1,Evening
27,2024-07-05,1144,2033,402,2,821.78,9.4,Morning
28,2025-01-24,1080,2009,401,0,39.84,7.5,Evening
29,2024-09-17,1017,2047,403,2,1975.1,9.4,Morning
30,2025-01-16,1020,2013,402,0,1199.52,9.6,Evening
31,2024-09-23,1089,2041,404,0,2406.09,8.6,Evening
32,2024-09-21,1116,2033,402,3,268.15,8.7,Evening
33,2025-05-13,1038,2047,402,0,1803.01,9.7,Evening
34,2025-03-19,1091,2035,401,3,3872.65,7.2,Afternoon
35,2025-05-06,1116,2022,404,,697.76,9.2,Morning
36,2025-05-08,1188,2034,402,0,125.51,7.3,Evening
37,2024-11-25,1032,2029,402,,55.96,9.1,Morning
38,2025-04-13,1071,2065,404,2,274.92,9.3,Morning
39,2025-05-22,1020,2039,404,2,4929.06,7.3,Evening
40,2024-07-19,1048,2079,401,1,814.88,9.3,Afternoon
41,2025-01-21,1080,2015,403,3,1409.56,7.2,Evening
42,2024-12-15,1005,2022,403,0,459.86,9.2,Afternoon
43,2025-03-15,1082,2056,402,1,603.38,8.2,Morning
44,2025-01-21,1023,2096,402,1,337.34,9.3,Evening
45,2024-06-21,1156,2009,404,1,63.76,9.3,Morning
46,2024-11-05,1034,2098,401,1,1918.03,9.3,Evening
47,2024-12-07,1071,2015,404,3,1976.39,8.3,Afternoon
48,2024-12-26,1113,2092,404,3,1500.13,6.3,Evening
49,2024-11-26,1063,2035,404,2,3710.95,5.4,Evening
50,2024-09-05,1138,2023,402,1,789.03,8.4,Morning
51,2024-11-07,1106,2079,404,0,3945.18,6.4,Morning
52,2024-10-30,1089,2079,404,1,1728.21,7.4,Evening
53,2024-11-29,1171,2051,402,1,1091.54,7.4,Evening
54,2025-04-29,1169,2079,402,1,2205.97,8.4,Evening
55,2024-08-27,1194,2035,404,0,3870.61,7.4,Afternoon
56,2024-06-22,1057,2099,401,1,89.74,7.1,Evening
57,2024-08-03,1066,2027,404,2,1234.13,8.1,Morning
58,2025-02-28,1116,2013,401,3,3717.57,8.1,Morning
59,2024-07-03,1160,2041,401,0,2427.7,6.1,Morning
60,2024-10-26,1087,2079,404,2,4229.18,8.1,Evening
61,2025-02-09,1187,2083,403,3,1660.18,7.1,Afternoon
